iter	Poisson
0	0.9671471267
1	0.9322487205
2	0.9120600101
3	0.8969392768
4	0.8753269067
5	0.8481816677
6	0.8285965938
7	0.8139614986
8	0.8039369442
9	0.794383831
10	0.7839224657
11	0.7676291719
12	0.7512971282
13	0.735491735
14	0.7233180757
15	0.71557574
16	0.7072348507
17	0.6977172753
18	0.6901344977
19	0.6837858849
20	0.6764175005
21	0.6691099642
22	0.6621016834
23	0.6532272949
24	0.6453628166
25	0.6434924002
26	0.634903631
27	0.6297321805
28	0.6256498572
29	0.6193009126
30	0.6121241349
31	0.6085210169
32	0.6040329322
33	0.5993210933
34	0.5935104714
35	0.5911755464
36	0.5875881245
37	0.5834198882
38	0.5825591691
39	0.5762798456
40	0.5731087595
41	0.5681311782
42	0.5663164526
43	0.5588829447
44	0.5573988198
45	0.5542503967
46	0.5481284366
47	0.5469777116
48	0.5399427983
49	0.5365319869
50	0.5349229867
51	0.5320119273
52	0.5261946915
53	0.5240326417
54	0.5205403804
55	0.5160543823
56	0.5135269282
57	0.5093923354
58	0.5076278197
59	0.5044749885
60	0.4997905276
61	0.4964522655
62	0.4914578196
63	0.4885283131
64	0.4828671323
65	0.4796276657
66	0.4765575516
67	0.4734733223
68	0.4699398411
69	0.4670385571
70	0.4635957969
71	0.4600576981
