iter	Passed	Remaining
0	28	14242
1	56	14117
2	91	15076
3	117	14512
4	152	15085
5	187	15453
6	222	15654
7	259	15969
8	297	16254
9	332	16286
10	365	16232
11	398	16222
12	431	16155
13	463	16094
14	496	16068
15	527	15963
16	560	15916
17	593	15901
18	624	15821
19	656	15765
20	689	15719
21	722	15692
22	755	15667
23	793	15729
24	824	15668
25	842	15355
26	876	15348
27	907	15300
28	937	15232
29	971	15226
30	1004	15198
31	1036	15153
32	1070	15156
33	1106	15167
34	1137	15114
35	1169	15075
36	1203	15061
37	1234	15011
38	1265	14953
39	1298	14929
40	1329	14879
41	1362	14853
42	1393	14808
43	1424	14761
44	1453	14696
45	1486	14670
46	1518	14631
47	1549	14593
48	1586	14601
49	1635	14722
50	1665	14664
51	1695	14604
52	1723	14539
53	1760	14541
54	1792	14499
55	1824	14462
56	1854	14413
57	1906	14527
58	1940	14507
59	1971	14456
60	2005	14431
61	2037	14391
62	2066	14337
63	2098	14298
64	2146	14366
65	2177	14317
66	2209	14279
67	2241	14242
68	2271	14187
69	2302	14142
70	2331	14088
71	2362	14040
